City,Latitude,Longitude
Amaravati,16.494222,80.510586
Rajamahendravaram,17.005045,81.780473
Tirupati,13.631637,79.423171
Vijayawada,16.511531,80.616047
Visakhapatnam,17.693553,83.29213
Guwahati,26.180598,91.753943
Gaya,24.796436,85.007956
Hajipur,25.69057,85.209035
Muzaffarpur,26.148255,85.33161
Patna,25.609324,85.123525
Chandigarh,30.733442,76.779714
Delhi,28.613895,77.209006
Ahmedabad,23.021537,72.580057
Ankleshwar,21.629321,72.99451
Gandhinagar,23.223288,72.649227
Nandesari,22.417804,73.094919
Vapi,20.373548,72.908438
Vatva,22.958998,72.629798
Ambala,30.384367,76.770421
Bahadurgarh,28.693324,76.933237
Ballabgarh,28.294073,77.359224
Bhiwani,28.79317,76.139128
Dharuhera,28.205522,76.79531
Faridabad,28.403148,77.310556
Fatehabad,29.535921,75.57529
Gurugram,28.464615,77.029919
Hisar,29.23966,75.817451
Jind,29.315207,76.314082
Kaithal,29.799659,76.39899
Karnal,29.725577,76.910692
Kurukshetra,29.969375,76.848279
Mandikhera,27.897075,76.992201
Manesar,28.32471,76.926379
Narnaul,28.043846,76.106201
Palwal,28.059943,77.322342
Panchkula,30.69754,76.855107
Panipat,29.391275,76.977167
Rohtak,28.90109,76.580193
Sirsa,29.606304,74.903657
Sonipat,28.995376,77.023363
Yamuna Nagar,30.138911,77.301064
Jorapokhar,23.716707,86.411017
Bagalkot,16.179322,75.699932
Bengaluru,12.976794,77.590082
Chamarajanagar,11.95442,77.106909
Chikkaballapur,13.099376,77.388729
Chikkamagaluru,13.40587,75.638758
Hubballi,15.351838,75.137985
Kalaburagi,17.240896,76.769744
Mysuru,12.305183,76.655361
Ramanagara,12.720006,77.31842
Vijayapura,16.814415,75.893386
Yadgir,16.574412,76.925443
Eloor,10.066996,76.298928
Ernakulam,10.038395,76.507414
Kannur,11.876384,75.373797
Kochi,9.967903,76.244438
Kollam,8.887053,76.59067
Kozhikode,11.245056,75.775472
Thiruvananthapuram,8.488227,76.947551
Bhopal,23.258486,77.401989
Damoh,23.798101,79.541936
Dewas,22.80575,76.294041
Gwalior,26.203725,78.157363
Indore,22.720362,75.8682
Jabalpur,23.170152,79.932451
Katni,23.717639,80.261018
Maihar,24.243754,81.044691
Mandideep,23.093838,77.51143
Pithampur,22.610558,75.679028
Ratlam,23.50222,74.955153
Sagar,23.808308,78.758254
Satna,24.695445,80.777035
Singrauli,24.243134,82.382767
Ujjain,23.188513,75.771656
Aurangabad,19.877263,75.339024
Chandrapur,20.096756,79.504548
Kalyan,19.239674,73.136648
Mumbai,19.054999,72.869203
Nagpur,21.149813,79.082056
Nashik,20.011247,73.790236
Navi Mumbai,19.030826,73.019854
Pune,18.521374,73.854507
Solapur,17.849907,75.27632
Thane,19.36536,73.368544
Shillong,25.575993,91.882787
Aizawl,23.727763,92.717995
Brajrajnagar,21.849859,83.92547
Talcher,20.93223,85.200582
Amritsar,31.635666,74.87875
Bathinda,30.179481,75.04711
Jalandhar,31.292231,75.567888
Khanna,30.700625,76.222076
Ludhiana,30.909016,75.851601
Gobindgarh,30.861354,75.946161
Patiala,30.209278,76.339723
Rupnagar,31.09171,76.52897
Alwar,27.414005,76.617039
Ajmer,26.4691,74.639
Jaipur,26.915458,75.818982
Jodhpur,26.296772,73.035143
Kota,25.173702,75.857419
Pali,25.455221,73.419389
Udaipur,24.578721,73.686257
Chennai,13.083694,80.270186
Coimbatore,11.001812,76.962842
Hyderabad,17.360589,78.474061
Agra,27.175255,78.009816
Baghpat,29.037478,77.306274
Bulandshahr,28.387407,77.97438
Ghaziabad,28.774997,77.458697
Greater Noida,28.467073,77.513765
Hapur,28.716677,77.890433
Kanpur,26.460914,80.321759
Lucknow,26.8381,80.9346
Meerut,29.001856,77.767967
Moradabad,28.879655,78.809534
Noida,28.570633,77.327215
Varanasi,25.335649,83.007629
Asansol,23.68713,86.974659
Durgapur,23.535048,87.338043
Haldia,22.028124,88.063265
Howrah,22.57363,88.325104
Kolkata,22.572646,88.363895
Siliguri,26.716413,88.430992
